foodname_ESP,foodname_ENG,quantity,energy,fats,prot,carbs,water,fiber,m_unsat_fats,p_unsat_fats,sat_fats,palm_acid,calcium,iron,potassium,magnesium,sodium,phosphorus,iodide,selenium,zinc,A,D,E,B9,B3,B2,B1,B12,B6,C
"Bacalao, salado, crudo","Cod, salted, raw",100,322.0,1.75,75.0,23.3,0.0,0.0,0.2,0.59,0.71,False,15.0,5.0,1.3,14.0,1.1,0.45,0.08,5.0,0.6,0.1,50.0,3.6,160.0,28.0,8100.0,891.0,60.0,28.0,1.0
"Bacalao, salado, remojado, crudo","Cod, salted, steeped, raw",100,110.0,0.4,26.0,73.6,0.0,0.0,,0.2,0.1,False,15.0,7.0,1.0,,5.5,0.05,0.05,5.0,0.22,0.0,28.0,0.2,100.0,21.0,3120.0,157.0,60.0,27.0,0.4
"Bacón, ahumado, a la parrilla","Bacon, smoked, grilled",100,292.0,22.1,23.4,50.5,0.0,0.0,9.3,2.9,8.3,False,0.0,0.6,0.07,2.0,7.0,0.16,0.9,1.0,0.46,,7.0,0.7,330.0,21.0,1760.0,190.0,7.0,12.0,2.2
"Bacon, crudo, con grasa separable","Bacon, raw, with separable fat",100,546.0,57.5,8.7,33.7,0.0,0.09,26.33,6.75,21.26,False,0.01,0.01,0.23,2.0,1.8,0.11,0.36,0.8,0.3,0.0,13.0,1.2,160.0,12.0,680.0,108.0,1.2,25.0,1.8
"Bambú, crudo","Bamboo, raw",100,34.0,0.3,2.6,91.0,2.2,5.2,0.007,0.134,0.069,False,6.0,0.0,1.0,7.0,0.6,0.07,0.15,0.0,0.24,4.0,13.0,0.5,533.0,3.0,4.0,59.0,,0.8,1.1
"Barra chocolate, tipo ""bounty""","Chocolate bar, type ""bounty""",100,492.0,26.6,4.6,10.8,3.5,58.0,8.7,1.0,16.5,False,60.0,0.01,0.08,7.0,0.3,0.11,0.05,0.01,0.05,1.2,100.0,1.5,316.0,44.4,164.0,140.0,21.1,5.0,1.7
"Barra de chocolate, tipo ""Kit-kat""","Chocolate bar, type ""kit kat""",100,501.0,24.477,6.5,3.5,1.3,63.0,11.2,0.6,11.6,False,34.1667,0.08,1.0,9.0,0.4,0.26,0.07,0.54,0.06,1.0,106.0,1.2,200.0,52.0,125.0,153.0,21.1,5.0,1.1
"Barra de chocolate, tipo ""Mars""","Chocolate bar, type ""mars""",100,456.0,18.4833,5.6,7.3,0.6,65.9,7.0,0.67,10.0,False,6.6667,0.1,1.5,9.0,0.3,0.2,0.05,0.26,0.08,,145.0,1.3,240.0,40.0,158.0,150.0,21.1,1.6,1.1
Barrita cereales con chocolate,"Cereal bar, with chocolate",100,397.0,7.0,9.0,9.5,1.5,73.0,3.8,1.1,3.5,False,13.5,0.0,0.9,165.0,15.0,1.3,1.1,0.8,1.6,0.0,65.3,11.0,210.0,51.6,160.0,172.9,14.6,6.3,1.6
Barrita cereales con frutas,"Cereal bar, with fruit",100,395.0,5.0,8.0,7.5,1.5,78.0,2.3,1.2,2.0,False,2.5,0.0,0.9,165.0,15.0,1.3,1.1,0.8,1.6,1.1,14.0,11.0,186.9,48.9,200.0,134.8,3.5,6.3,1.4
Barrita cereales maíz y trigo,"Cereal bar, with corn and wheat",100,431.0,13.8,7.4,9.4,1.1,68.3,,,10.1,False,0.0,0.0,2.94,15.0,9.091,0.773,0.682,0.0,0.909,0.0,31.0,2.56,143.0,46.0,500.0,136.0,3.7,24.9,1.78
Barrita cereales trigo y chocolate,"Cereal bar, with wheat and chocolate",100,437.0,14.8,8.3,8.9,1.4,66.6,,,10.6,False,13.5,0.0,0.9,17.0,2.8,0.09,0.09,0.0,0.08,0.0,65.3,2.2,210.0,51.6,224.6,172.9,14.6,6.3,1.6
Batido de chocolate,"Milk shake, chocolate",100,83.0,3.6,2.7,83.1,0.8,9.8,1.0,0.1,2.3,True,36.17,0.0,0.09,5.0,0.75,0.09,0.04,0.36,0.04,1.0,111.0,0.3,192.0,22.0,49.0,95.0,7.2,1.9,0.4
Batido de fresa,"Milk shake, strawberry",100,66.0,1.0,2.8,84.2,0.8,11.2,2.9,0.7,0.62,True,22.8,0.01,0.04,1.72,0.74,0.19,0.04,0.2,0.04,0.09,110.0,0.09,183.0,11.31,95.0,90.0,7.2,2.3,0.39
